"name","class","spec","realm","region","guild","faction","zone","encounter","duration","percentile","dps","ilvl","encounter_id","character_id","date","zone_id","report_id","report_fight_id","guild_id"
Nailuss,Shaman,Enhancement,faerlina,us,Gratz,horde,Trial of the Crusader,Lord Jaraxxus,124.849,98.22056,13164.967,246,633,76070673,2023-10-03 23:21:17.648,1018,V9AxPXGMfkbv2Br4,25,632029
Nailuss,Shaman,Enhancement,faerlina,us,Gratz,horde,Trial of the Crusader,Twin Val'kyr,152.593,81.90535,15600.637,245,641,76070673,2023-08-23 21:46:21.426,1018,vPhDTGqmCzagjH7V,8,632029
Pequilock,Warlock,Demonology,faerlina,us,Gratz,horde,Trial of the Crusader,The Northrend Beasts,286.278,80.15402,8917.142,243,629,75899790,2023-10-03 22:12:33.451,1018,V9AxPXGMfkbv2Br4,10,632029
Pequilock,Warlock,Demonology,faerlina,us,Gratz,horde,Trial of the Crusader,Lord Jaraxxus,133.693,76.996254,10375.839,243,633,75899790,2023-09-19 21:18:49.759,1018,mWtrwbPdG4HBxzAT,3,632029
Pequilock,Warlock,Demonology,faerlina,us,Gratz,horde,Trial of the Crusader,Twin Val'kyr,142.713,90.56794,15015.065,240,641,75899790,2023-08-17 02:17:18.592,1018,hwvZagqLMD6byN2x,6,632029
Pequilock,Warlock,Demonology,faerlina,us,Gratz,horde,Trial of the Crusader,Anub'arak,265.487,82.192535,9131.472,243,645,75899790,2023-10-02 22:47:34.991,1018,kXMmYNQHA3hWnxfD,8,632029
Phcx,Shaman,Elemental,faerlina,us,Gratz,horde,Trial of the Crusader,The Northrend Beasts,286.535,88.0182,9629.789,247,629,75960305,2023-10-02 21:10:54.325,1018,Q2YXFajz4MDNkBfp,2,632029
Phcx,Shaman,Elemental,faerlina,us,Gratz,horde,Trial of the Crusader,Twin Val'kyr,143.167,81.00277,14956.484,247,641,75960305,2023-10-02 21:28:35.027,1018,Q2YXFajz4MDNkBfp,7,632029
Phcx,Shaman,Elemental,faerlina,us,Gratz,horde,Trial of the Crusader,Anub'arak,273.232,84.36122,9112.084,247,645,75960305,2023-09-19 22:55:51.629,1018,"2tdWN9RvXapZFAP8",1,632029
Shoqui,Shaman,Elemental,faerlina,us,Gratz,horde,Trial of the Crusader,Lord Jaraxxus,137.523,51.425163,9293.806,241,633,68240058,2023-08-23 21:35:13.839,1018,vPhDTGqmCzagjH7V,5,632029
Shoqui,Shaman,Elemental,faerlina,us,Gratz,horde,Trial of the Crusader,Anub'arak,278.382,17.124199,6686.0537,241,645,68240058,2023-08-16 21:57:12.409,1018,aXkYhTmPvRC3pHVJ,8,632029
Tapeba,Mage,Fire,faerlina,us,Gratz,horde,Trial of the Crusader,The Northrend Beasts,286.278,77.83451,9913.892,249,629,70636733,2023-10-03 22:12:33.451,1018,V9AxPXGMfkbv2Br4,10,632029
Tapeba,Mage,Fire,faerlina,us,Gratz,horde,Trial of the Crusader,Lord Jaraxxus,139.88,93.83525,16068.816,249,633,70636733,2023-10-03 22:19:34.738,1018,V9AxPXGMfkbv2Br4,11,632029
Tapeba,Mage,Fire,faerlina,us,Gratz,horde,Trial of the Crusader,Twin Val'kyr,141.989,89.19341,16684.596,249,641,70636733,2023-10-03 22:32:35.381,1018,"6Xtxg7vjwcNAHDqr",3,632029
Timblock,Warlock,Demonology,faerlina,us,Gratz,horde,Trial of the Crusader,The Northrend Beasts,293.412,75.051735,8705.945,246,629,74639479,2023-09-05 22:01:45.627,1018,pVLW2gfAcXNC9Km6,9,632029
Timblock,Warlock,Affliction,faerlina,us,Gratz,horde,Trial of the Crusader,Lord Jaraxxus,151.579,81.31967,11456.277,247,633,74639479,2023-10-05 14:11:33.801,1018,VrK6jvzmHFfCthpR,3,632029
Pikkaku,DeathKnight,Unholy,faerlina,us,Gratz,horde,Trial of the Crusader,Lord Jaraxxus,142.959,16.229895,8089.1445,233,633,69538590,2023-09-04 22:52:36.670,1018,JnyPQMB3719dYzw4,3,632029
Pikkaku,DeathKnight,Unholy,faerlina,us,Gratz,horde,Trial of the Crusader,Twin Val'kyr,154.18,9.316325,9746.77,233,641,69538590,2023-09-07 21:54:34.728,1018,"3A9HZVgXRzLkrt2J",8,632029
Brycecream,Warlock,Affliction,faerlina,us,CORE B,horde,Trial of the Crusader,Lord Jaraxxus,180.263,31.63,8515.053,241,633,68221847,2023-09-28 00:57:12.676,1018,Ywxc6abnFK3AHVvr,3,708067
Whitewaffles,Priest,Shadow,faerlina,us,CORE B,horde,Trial of the Crusader,The Northrend Beasts,416.288,5.0197845,4803.278,231,629,76925007,2023-09-27 02:32:25.522,1018,G8qAnMX2aPNf3KVv,2,708067
Brusz,Mage,Fire,faerlina,us,Long Live RocknRoll,horde,Trial of the Crusader,Twin Val'kyr,145.387,67.19359,14927.435,246,641,74467972,2023-09-06 00:20:16.678,1018,tjD3g6NTdLz19Y7w,6,706578
Brusz,Mage,Fire,faerlina,us,Long Live RocknRoll,horde,Trial of the Crusader,Anub'arak,319.015,68.08747,9623.7295,245,645,74467972,2023-08-25 01:07:50.075,1018,KHh87Jw4VPYG9jdM,8,706578
Lavabut,Shaman,Elemental,faerlina,us,Long Live RocknRoll,horde,Trial of the Crusader,Lord Jaraxxus,282.404,23.8675,7538.8203,240,633,70684871,2023-08-20 02:22:25.515,1018,bfyLX1WCvHZGz3Rc,12,706578
Quissai,Rogue,Combat,faerlina,us,Long Live RocknRoll,horde,Trial of the Crusader,The Northrend Beasts,347.743,6.119526,4526.028,216,629,70041217,2023-08-25 00:29:35.889,1018,KHh87Jw4VPYG9jdM,2,706578
Dyabita,Druid,Balance,faerlina,us,INSS,horde,Trial of the Crusader,The Northrend Beasts,325.185,83.58369,9262.276,244,629,75960752,2023-10-04 23:25:48.704,1018,n1gR37fcFAD49tLZ,2,707072
Firexplosion,Mage,Arcane,benediction,us,É Foda Bê,alliance,Trial of the Crusader,The Northrend Beasts,372.514,1.2114116,1955.8307,237,629,72605818,2023-08-31 00:49:14.263,1018,wXZrzDJ1fvm4Cnad,9,641689
Schemers,Mage,Fire,faerlina,us,Gratz,horde,Trial of the Crusader,The Northrend Beasts,296.821,48.06654,8464.814,246,629,59945884,2023-10-03 23:14:29.435,1018,V9AxPXGMfkbv2Br4,24,632029
Timblock,Warlock,Demonology,faerlina,us,Gratz,horde,Trial of the Crusader,Lord Jaraxxus,156.742,77.541405,10398.317,243,633,74639479,2023-08-16 21:18:46.159,1018,aXkYhTmPvRC3pHVJ,3,632029
