"id","guild","title","date","realm","region","faction"
bhCDz3XxBpVMdHj7,PAF,Trial of the Crusader,2023-08-22 22:57:43.184,benediction,us,alliance
"2WKfrZzT71M4RqyF",PAF,Trial of the Crusader,2023-08-22 23:03:07.010,benediction,us,alliance
raWLyjcpBD1wqhFP,PAF,Toc 25 Alts,2023-08-21 20:38:16.561,benediction,us,alliance
gkQBc1VZyG2j8rp7,PAF,Raid Y,2023-08-20 21:31:05.333,benediction,us,alliance
x4fbAWX1GqJB6n8v,PAF,Raid Y,2023-08-20 20:13:09.533,benediction,us,alliance
HxMRL94VhDbKnCfm,PAF,Raid Y,2023-08-20 19:10:50.684,benediction,us,alliance
Xm93q4xkGcDybPQM,PAF,Toc 25 hc Raid X,2023-08-20 20:06:21.265,benediction,us,alliance
rfYkKTMqQLaj4JZz,PAF,Raid Y,2023-08-20 18:58:38.629,benediction,us,alliance
cKFhN1ZRgdxX3nmp,PAF,Toc 25 hc Raid Y,2023-08-20 18:58:34.258,benediction,us,alliance
"2FbZJkta1PXxKNAL",PAF,Toc 10 Grupo 4,2023-08-16 23:10:33.870,benediction,us,alliance
qLBPXb2VYdkyhgNF,PAF,Toc 10 Grupo 2,2023-08-16 21:42:11.829,benediction,us,alliance
bqnF19NwHpQMx8gB,PAF,Trial of the Crusader,2023-08-15 23:25:51.798,benediction,us,alliance
mayCvT3GdAHwZYfr,PAF,raid alts segunda,2023-08-14 21:30:49.493,benediction,us,alliance
"4CTPB3wjDHN7qcpd",PAF,Toc 25 Alts,2023-08-14 20:50:53.820,benediction,us,alliance
aAqz91BxPhwHFGDZ,PAF,Toc 25 VV,2023-08-13 21:20:13.337,benediction,us,alliance
PdtQzxXjv28rZ73c,PAF,Log raid X,2023-08-13 19:50:23.160,benediction,us,alliance
"46jBYpDrRayJvh7V",PAF,Toc 25 W,2023-08-13 19:43:27.943,benediction,us,alliance
"1txDw3jJKBnkz6HT",PAF,Raid 10 grupo 4,2023-08-09 23:06:18.990,benediction,us,alliance
"8nQy4cYqjg17pt39",PAF,Raid 10 Grupo 3,2023-08-09 22:22:11.139,benediction,us,alliance
tNB4acCqfbvRTkD2,PAF,Raid 10 grupo 2,2023-08-09 21:42:05.670,benediction,us,alliance
AJGbd172ZP8KMnRk,CangaceirøS,RAIDTOC25_22082023,2023-08-22 22:35:32.317,faerlina,us,horde
"7N1nA4XfWPM9FYpx",CangaceirøS,RAID25_22082023,2023-08-22 20:50:07.868,faerlina,us,horde
gTzFxMrwKvbn9qfG,CangaceirøS,TOC10_16082023,2023-08-16 21:28:26.055,faerlina,us,horde
fbjPVH4Yz6rA73pL,CangaceirøS,RAID25_TOC_15082023,2023-08-15 22:34:41.985,faerlina,us,horde
vkJDrRTz6Ntc3Pwp,CangaceirøS,RAID25_TOC_15082023,2023-08-15 20:50:24.158,faerlina,us,horde
prBGw4KPazV6QTxj,CangaceirøS,RAID25_15082023,2023-08-15 20:50:24.158,faerlina,us,horde
Jc8kTKhdZfn614Wp,CangaceirøS,TOC10_10082023,2023-08-10 22:34:55.969,faerlina,us,horde
q1fhZymHV4KQRCx6,CangaceirøS,RAID25_ANUB10082023,2023-08-10 21:11:41.246,faerlina,us,horde
ZPqDgb9TKamr1Ww7,Popcorn Lil Sacks,CONE CORE - 22/08,2023-08-22 19:45:27.724,faerlina,us,horde
F6QgAKjtk3dy8Mq7,Popcorn Lil Sacks,RAID - 17/08,2023-08-17 21:08:00.805,faerlina,us,horde
azvWt9pMCXKTdZH3,Popcorn Lil Sacks,CORE LIL PUMP - 15/08,2023-08-15 19:49:31.728,faerlina,us,horde
GJj6AFYcr1zQCakB,Popcorn Lil Sacks,Core 4! CRIME CORE,2023-08-14 20:00:12.938,faerlina,us,horde
LFD1YcmRPyktwxJQ,Popcorn Lil Sacks,Amigos do uvokin,2023-08-13 00:14:24.926,faerlina,us,horde
Tt9DdAr7np8hWBxz,Popcorn Lil Sacks,CORE 2 - 10/08,2023-08-10 19:59:45.201,faerlina,us,horde
QcTwJxzqXaytj13R,Popcorn Lil Sacks,reabilitacao core 10/08,2023-08-10 21:10:05.570,faerlina,us,horde
